CONTROLE DE PARCELAMENTOS,,,,,,,,,,,,,,,,,
Descrição,Valor Total (R$),Nº Parcelas,1ª Parcela (mês),Valor/Parcela (R$),Forma de Pagamento,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Streaming - HBO Max,"358,80",12,1,"29,90",Santander,"29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90"
Música - Spotify,"286,80",12,1,"23,90",Nubank,"23,90","23,90","23,90","23,90","23,90","23,90","23,90","23,90","23,90","23,90","23,90","23,90"
Internet - Claro Flex,"358,80",12,1,"29,90",Nubank,"29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90","29,90"
Academia ,"1.560,00",12,1,"130,00",Santander,"130,00","130,00","130,00","130,00","130,00","130,00","130,00","130,00","130,00","130,00","130,00","130,00"
Internet - Casa,"1.200,00",12,1,"100,00",Pix,"100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00","100,00"
,,,,,,,,,,,,,,,,,
Fatho Modas - Vestidos ,"495,00",3,6,"165,00",Santander,,,,,,"165,00","165,00","165,00",,,,
Studio z - Sapatos (prs. Mãe),"249,96",2,7,"124,98",Santander,,,,,,,"124,98","124,98",,,,
C&A - Roupas,"820,30",5,5,"164,06",Boleto,,,,,"164,06","164,06","164,06","164,06","164,06",,,
Magalu - Máquina de lavar,"2.034,90",6,5,"339,15",Santander,,,,,"339,15","339,15","339,15","339,15","339,15","339,15",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL POR MÊS →,,,,,,"313,70","313,70","313,70","313,70","816,91","981,91","1.106,89","1.106,89","816,91","652,85","313,70","313,70"
TOTAL CARTÃO (já na fatura) →,,,,,,"213,70","213,70","213,70","213,70","552,85","717,85","842,83","842,83","552,85","552,85","213,70","213,70"
TOTAL FORA DO CARTÃO (somar em Gastos) →,,,,,,"100,00","100,00","100,00","100,00","264,06","264,06","264,06","264,06","264,06","100,00","100,00","100,00"
1. Preencha a Descrição da compra parcelada,,,,,,,,,,,,,,,,,
2. Informe o Valor Total da compra,,,,,,,,,,,,,,,,,
3. Informe o Nº de Parcelas,,,,,,,,,,,,,,,,,
"4. Informe o mês da 1ª parcela (1=Jan, 2=Fev, ..., 12=Dez)",,,,,,,,,,,,,,,,,
5. O valor de cada mês será calculado automaticamente,,,,,,,,,,,,,,,,,
6. O total por mês (linha 33) alimenta o Resumo Mensal automaticamente,,,,,,,,,,,,,,,,,
